name,smiles,canonical_smiles,inchi_key,sources,source_ids,sider_terms,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
5-Aminolevulinic Acid,C(CC(=O)O)C(=O)CN,NCC(=O)CCC(=O)O,ZGXJTSGNIOSYLO-UHFFFAOYSA-N,sider,137,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood bilirubin increased;Gamma-glutamyltransferase increased,0,unknown,0,1
"5-(5-Hydroxy-4-(3-hydroxyoct-1-enyl)-3,3a,4,5,6,6a-hexahydrocyclopenta(b)furan-2-ylidene)pentanoic acid",CCCCCC(C=CC1C(CC2C1CC(=CCCCC(=O)O)O2)O)O,CCCCCC(O)C=CC1C(O)CC2OC(=CCCCC(=O)O)CC21,KAQKFAOMNZTLHT-UHFFFAOYSA-N,sider,159,Hepatic failure,0,unknown,0,1
Ox bile extract,CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C,CC(CCC(=O)O)C1CCC2C3C(O)CC4CC(O)CCC4(C)C3CC(O)C12C,BHQCQFFYRZLCQQ-UHFFFAOYSA-N,sider,303,Jaundice;Transaminases increased,0,unknown,0,1
Citric Acid,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,O=C(O)CC(O)(CC(=O)O)C(=O)O,KRKNYBCHXYNGOX-UHFFFAOYSA-N,sider,311,Liver disorder,0,unknown,0,1
Salicylic Acid,C1=CC=C(C(=C1)C(=O)O)O,O=C(O)c1ccccc1O,YGSDEFSMJLZEOE-UHFFFAOYSA-N,sider,338,Hepatitis,0,unknown,0,1
Bupropion,CC(C(=O)C1=CC(=CC=C1)Cl)NC(C)(C)C,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,SNPPWIUOZRMYNY-UHFFFAOYSA-N,sider,444,Hepatic enzyme increased;Hepatic function abnormal;Hepatitis;Hepatitis C;Hepatocellular injury;Hepatotoxicity;Jaundice;Liver injury,0,unknown,0,1
"13-Methyl-6,7,8,9,11,12,14,15,16,17-decahydrocyclopenta(a)phenanthrene-3,17-diol",CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2O,VOXZDWNPVJITMN-UHFFFAOYSA-N,sider,450,Alanine aminotransferase increased;Blood alkaline phosphatase increased;Hepatic function abnormal;Hepatic neoplasm;Hepatitis;Hepatitis acute;Jaundice;Jaundice cholestatic;Liver function test abnormal,0,unknown,0,1
Hexitol,C(C(C(C(C(CO)O)O)O)O)O,OCC(O)C(O)C(O)C(O)CO,FBPFZTCFMRRESA-UHFFFAOYSA-N,sider,453,Blood alkaline phosphatase increased,0,unknown,0,1
4-Amino-1-pentofuranosyl-2(1H)-pyrimidinone,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)O,Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,UHDGCWIWMRVCDJ-UHFFFAOYSA-N,sider,596,Blood bilirubin increased;Hepatic function abnormal;Hepatocellular injury;Jaundice;Liver abscess;Liver injury;Transaminases increased;Traumatic liver injury,0,unknown,0,1
Mercaptoethanesulfonic acid,C(CS(=O)(=O)O)S,O=S(=O)(O)CCS,ZNEWHQLOPFWXOF-UHFFFAOYSA-N,sider,598,Hepatitis,0,unknown,0,1
Ketohydroxy-Estratriene,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)O,CC12CCC3c4ccc(O)cc4CCC3C1CCC2=O,DNXHEGUUPJUMQT-UHFFFAOYSA-N,sider,698,Jaundice cholestatic,0,unknown,0,1
"13-methyl-17-oxo-3-sulfooxy-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta(a)phenanthrene",CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)O,CC12CCC3c4ccc(OS(=O)(=O)O)cc4CCC3C1CCC2=O,JKKFKPJIXZFSSB-UHFFFAOYSA-N,sider,699,Jaundice cholestatic,0,unknown,0,1
DL-Glutamine,C(CC(=O)N)C(C(=O)O)N,NC(=O)CCC(N)C(=O)O,ZDXPYRJPNDTMRX-UHFFFAOYSA-N,sider,738,Hepatic function abnormal,0,unknown,0,1
2-O-Sulfohexopyranuronosyl-(1->4)-2-deoxy-3-O-sulfo-2-(sulfoamino)hexopyranosyl-(1->4)-2-O-sulfohexopyranuronosyl-(1->4)-2-acetamido-2-deoxy-6-O-sulfohexopyranose,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O,CC(=O)NC1C(O)OC(COS(=O)(=O)O)C(OC2OC(C(=O)O)C(OC3OC(CO)C(OC4OC(C(=O)O)C(O)C(O)C4OS(=O)(=O)O)C(OS(=O)(=O)O)C3NS(=O)(=O)O)C(O)C2OS(=O)(=O)O)C1O,HTTJABKRGRZYRN-UHFFFAOYSA-N,sider,772,Alanine aminotransferase increased;Aspartate aminotransferase increased;Cholestatic liver injury;Hepatocellular injury;Liver disorder,0,unknown,0,1
Melatonin,CC(=O)NCCC1=CNC2=C1C=C(C=C2)OC,COc1ccc2[nH]cc(CCNC(C)=O)c2c1,DRLFMBDRBRZALE-UHFFFAOYSA-N,sider,896,Hepatic enzyme increased;Liver function test abnormal,0,unknown,0,1
Nicotinate,C1=CC(=CN=C1)C(=O)[O-],O=C(O)c1cccnc1,PVNIIMVLHYAWGP-UHFFFAOYSA-M,sider,937,Cholestasis;Hepatic function abnormal;Hepatitis;Hepatomegaly;Hepatotoxicity;Jaundice;Jaundice cholestatic;Liver function test abnormal,0,unknown,0,1
Pyrazinamide,C1=CN=C(C=N1)C(=O)N,NC(=O)c1cnccn1,IPEHBUMCGVEMRF-UHFFFAOYSA-N,sider,1046,Acute yellow liver atrophy;Hepatitis;Hepatomegaly;Hepatotoxicity;Liver tenderness,0,unknown,0,1
"Cinchonan-9-ol, 6'-methoxy-, (8alpha,9R)-",COC1=CC2=C(C=CN=C2C=C1)C(C3CC4CCN3CC4C=C)O,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,LOUPRKONTZGTKE-UHFFFAOYSA-N,sider,1065,Granulomatous liver disease;Hepatitis;Hepatotoxicity;Jaundice;Liver function test abnormal,0,unknown,0,1
1-(2-Deoxypentofuranosyl)-4-hydroxy-5-methylpyrimidin-2(1H)-one,CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO)O,Cc1cn(C2CC(O)C(CO)O2)c(=O)[nH]c1=O,IQFYYKKMVGJFEH-UHFFFAOYSA-N,sider,1134,Alanine aminotransferase increased;Aspartate aminotransferase increased;Hepatic pain;Hepatitis;Hepatitis B;Hepatitis acute;Hepatomegaly,0,unknown,0,1
Sodium 2-(6-methoxynaphthalen-2-yl)propanoate,CC(C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)[O-].[Na+],COc1ccc2cc(C(C)C(=O)O)ccc2c1,CDBRNDSHEYLDJV-UHFFFAOYSA-M,sider,1301,Cholestasis;Hepatic enzyme increased;Hepatic failure;Hepatitis;Jaundice;Liver function test abnormal,0,unknown,0,1
2-Chloro-9-(2-deoxypentofuranosyl)-9H-purin-6-amine,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O,Nc1nc(Cl)nc2c1ncn2C1CC(O)C(CO)O1,PTOAARAWEBMLNO-UHFFFAOYSA-N,sider,1546,Blood bilirubin increased;Hepatic failure,0,unknown,0,1
Doxorubicin (Adriamycin) HCl,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)[NH3+])O,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)CC(O)(C(=O)CO)CC3OC1CC(N)C(O)C(C)O1,AOJJSUZBOXZQNB-UHFFFAOYSA-O,sider,1690,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Blood bilirubin increased;Hepatic cancer metastatic;Hepatic failure;Hepatic function abnormal;Hepatitis;Hepatocellular injury;Hepatomegaly;Jaundice;Jaundice cholestatic;Liver function test abnormal;Liver injury;Metastases to liver;Transaminases increased,0,unknown,0,1
Phenytoin,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1,CXOFVDLJLONNDW-UHFFFAOYSA-N,sider,1775,Acute hepatic failure;Hepatic function abnormal;Hepatitis toxic;Hepatocellular injury;Hepatotoxicity;Liver function test abnormal;Liver injury;Traumatic liver injury,0,unknown,0,1
"N-(3-methyl-5-sulfamoyl-1,3,4-thiadiazol-3-ium-2-yl)acetamide",CC(=O)NC1=[N+](N=C(S1)S(=O)(=O)N)C,CC(=O)Nc1sc(S(N)(=O)=O)n[n+]1C,FLOSMHQXBMRNHR-UHFFFAOYSA-O,sider,1798,Hepatic failure;Hepatic necrosis,0,unknown,0,1
"4-Amino-1-pentofuranosyl-1,3,5-triazin-2(1H)-one",C1=NC(=NC(=O)N1C2C(C(C(O2)CO)O)O)N,Nc1ncn(C2OC(CO)C(O)C2O)c(=O)n1,NMUSYJAQQFHJEW-UHFFFAOYSA-N,sider,1805,Coma hepatic;Hepatic failure,0,unknown,0,1
"4-[2-(11,17-dihydroxy-6,10,13-trimethyl-3-oxo-7,8,9,11,12,14,15,16-octahydro-6H-cyclopenta[a]phenanthren-17-yl)-2-oxoethoxy]-4-oxobutanoic acid",CC1CC2C3CCC(C3(CC(C2C4(C1=CC(=O)C=C4)C)O)C)(C(=O)COC(=O)CCC(=O)O)O,CC1CC2C(C(O)CC3(C)C2CCC3(O)C(=O)COC(=O)CCC(=O)O)C2(C)C=CC(=O)C=C12,IMBXEJJVJRTNOW-UHFFFAOYSA-N,sider,1875,Alanine aminotransferase increased,0,unknown,0,1
4-(2-Amino-6-(cyclopropylamino)-9H-purin-9-yl)-2-cyclopentene-1-methanol,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO,Nc1nc(NC2CC2)c2ncn(C3C=CC(CO)C3)c2n1,MCGSCOLBFJQGHM-UHFFFAOYSA-N,sider,1971,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood bilirubin increased;Gamma-glutamyltransferase increased;Hepatic failure;Hepatic steatosis;Hepatitis;Hepatitis B;Hepatomegaly;Liver function test abnormal,0,unknown,0,1
"33-((3-Amino-3,6-dideoxyhexopyranosyl)oxy)-1,3,5,6,9,11,17,37-octahydroxy-15,16,18-trimethyl-13-oxo-14,39-dioxabicyclo(33.3.1)nonatriaconta-19,21,23,25,27,29,31-heptaene-36-carboxylic acid",CC1C=CC=CC=CC=CC=CC=CC=CC(CC2C(C(CC(O2)(CC(CC(C(CCC(CC(CC(=O)OC(C(C1O)C)C)O)O)O)O)O)O)O)C(=O)O)OC3C(C(C(C(O3)C)O)N)O,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,APKFDSVGJQXUKY-UHFFFAOYSA-N,sider,1972,Acute hepatic failure;Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Cholestasis;Gamma-glutamyltransferase increased;Hepatic enzyme increased;Hepatic failure;Hepatic function abnormal;Hepatitis;Hepatitis cholestatic;Hepatocellular injury;Hepatomegaly;Hepatotoxicity;Jaundice;Liver function test abnormal;Liver injury;Venoocclusive liver disease,0,unknown,0,1
Acebutolol,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,GOEMGAFJFRBGGG-UHFFFAOYSA-N,sider,1978,Aspartate aminotransferase increased;Blood bilirubin increased,0,unknown,0,1
Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,CC(=O)Nc1ccc(O)cc1,RZVAJINKPMORJF-UHFFFAOYSA-N,sider,1983,Acute hepatic failure;Aspartate aminotransferase increased;Hepatic enzyme increased;Hepatic failure;Hepatic function abnormal;Hepatic necrosis;Hepatitis;Hepatitis fulminant;Hepatocellular injury;Liver injury;Traumatic liver injury,0,unknown,0,1
Acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,CC(=O)Nc1nnc(S(N)(=O)=O)s1,BZKPWHYZMXOIDC-UHFFFAOYSA-N,sider,1986,Hepatic failure;Hepatic function abnormal;Hepatic necrosis;Jaundice cholestatic,0,unknown,0,1
Dactinomycin (USP),CC1C(C(=O)NC(C(=O)N2CCCC2C(=O)N(CC(=O)N(C(C(=O)O1)C(C)C)C)C)C(C)C)NC(=O)C3=C4C(=C(C=C3)C)OC5=C(C(=O)C(=C(C5=N4)C(=O)NC6C(OC(=O)C(N(C(=O)CN(C(=O)C7CCCN7C(=O)C(NC6=O)C(C)C)C)C)C(C)C)C)N)C,Cc1c2oc3c(C)ccc(C(=O)NC4C(=O)NC(C(C)C)C(=O)N5CCCC5C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC4C)c3nc-2c(C(=O)NC2C(=O)NC(C(C)C)C(=O)N3CCCC3C(=O)N(C)CC(=O)N(C)C(C(C)C)C(=O)OC2C)c(N)c1=O,RJURFGZVJUQBHK-UHFFFAOYSA-N,sider,2019,Aspartate aminotransferase increased;Hepatic failure;Hepatitis;Hepatomegaly;Hepatotoxicity;Liver function test abnormal;Venoocclusive liver disease,0,unknown,0,1
acyclovir,C1=NC2=C(N1COCCO)NC(=NC2=O)N,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,MKUXAQIIEYXACX-UHFFFAOYSA-N,sider,2022,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Hepatitis;Jaundice;Liver function test abnormal,0,unknown,0,1
Albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,HXHWSAZORRCQMX-UHFFFAOYSA-N,sider,2082,Acute hepatic failure;Hepatitis;Liver function test abnormal,0,unknown,0,1
Salbutamol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,NDAUXUAQIAJITI-UHFFFAOYSA-N,sider,2083,Jaundice,0,unknown,0,1
Alendronic Acid,C(CC(O)(P(=O)(O)O)P(=O)(O)O)CN,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,OGSPWJRAVKPPFI-UHFFFAOYSA-N,sider,2088,Transaminases increased,0,unknown,0,1
Alfuzosin,CN(CCCNC(=O)C1CCCO1)C2=NC3=CC(=C(C=C3C(=N2)N)OC)OC,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,WNMJYKCGWZFFKR-UHFFFAOYSA-N,sider,2092,Cholestasis;Cholestatic liver injury;Hepatocellular injury;Jaundice;Liver injury,0,unknown,0,1
allopurinol,C1=C2C(=NC=NC2=O)NN1,O=c1ncnc2[nH][nH]cc1-2,OFCNXPDARWKPPY-UHFFFAOYSA-N,sider,2094,Granulomatous liver disease;Hepatic failure;Hepatic function abnormal;Hepatic necrosis;Hepatitis;Hepatocellular injury;Hepatomegaly;Hepatotoxicity;Jaundice;Jaundice cholestatic;Liver disorder;Liver injury,0,unknown,0,1
Alosetron,CC1=C(N=CN1)CN2CCC3=C(C2=O)C4=CC=CC=C4N3C,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,JSWZEAMFRNKZNL-UHFFFAOYSA-N,sider,2099,Alanine aminotransferase increased;Blood bilirubin abnormal;Hepatitis;Jaundice,0,unknown,0,1
Alprazolam,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,VREFGVBLTWBCJP-UHFFFAOYSA-N,sider,2118,Blood bilirubin increased;Hepatic failure;Hepatic function abnormal;Hepatitis;Jaundice;Liver function test abnormal,0,unknown,0,1
Altretamine,CN(C)C1=NC(=NC(=N1)N(C)C)N(C)C,CN(C)c1nc(N(C)C)nc(N(C)C)n1,UUVWYPNAQBNQJQ-UHFFFAOYSA-N,sider,2123,Blood alkaline phosphatase increased,0,unknown,0,1
Amantadine,C1C2CC3CC1CC(C2)(C3)N,NC12CC3CC(CC(C3)C1)C2,DKNWSYNQZKUICI-UHFFFAOYSA-N,sider,2130,Liver function test abnormal,0,unknown,0,1
Aminoglutethimide,CCC1(CCC(=O)NC1=O)C2=CC=C(C=C2)N,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,ROBVIMPUHSLWNV-UHFFFAOYSA-N,sider,2145,Hepatotoxicity,0,unknown,0,1
"[2-[4-[(2-Butylbenzofuran-3-yl)carbonyl]-2,6-diiodophenoxy]ethyl]diethylaminium",CCCCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)I)OCC[NH+](CC)CC)I,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,IYIKLHRQXLHMJQ-UHFFFAOYSA-O,sider,2156,Alanine aminotransferase increased;Aspartate aminotransferase increased;Granulomatous liver disease;Hepatic failure;Hepatic function abnormal;Hepatitis;Hepatitis alcoholic;Hepatitis cholestatic;Hepatocellular injury;Hepatomegaly;Jaundice;Liver disorder;Liver function test abnormal;Liver injury;Traumatic liver injury,0,unknown,0,1
Amitriptyline,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31,CN(C)CCC=C1c2ccccc2CCc2ccccc21,KRMDCWKBEZIMAB-UHFFFAOYSA-N,sider,2160,Hepatic failure;Hepatitis;Jaundice,0,unknown,0,1
Amlexanox,CC(C)C1=CC2=C(C=C1)OC3=NC(=C(C=C3C2=O)C(=O)O)N,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,SGRYPYWGNKJSDL-UHFFFAOYSA-N,sider,2161,Liver function test abnormal,0,unknown,0,1
Amlodipine,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,HTIQEAQVCYTUBX-UHFFFAOYSA-N,sider,2162,Cholestasis;Hepatitis;Jaundice,0,unknown,0,1
"5-Ethyl-5-(3-methylbutyl)-2,6-dioxo-1,2,5,6-tetrahydropyrimidin-4-olate",CCC1(C(=O)NC(=O)N=C1[O-])CCC(C)C,CCC1(CCC(C)C)C(=O)NC(=O)N=C1O,VIROVYVQCGLCII-UHFFFAOYSA-M,sider,2163,Hepatocellular injury;Liver injury,0,unknown,0,1
Amoxapine,C1CN(CCN1)C2=NC3=CC=CC=C3OC4=C2C=C(C=C4)Cl,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,QWGDMFLQWFTERH-UHFFFAOYSA-N,sider,2170,Hepatitis;Jaundice,0,unknown,0,1
"6-(2-Amino(4-hydroxyphenyl)acetamido)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo(3.2.0)heptane-2-carboxylic acid",CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=C(C=C3)O)N)C(=O)O)C,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,LSQZJLSUYDQPKJ-UHFFFAOYSA-N,sider,2171,Cholestasis;Hepatic function abnormal;Hepatitis;Jaundice cholestatic,0,unknown,0,1
{3-[(4-Amino-benzenesulfonyl)-isobutyl-amino]-1-benzyl-2-hydroxy-propyl}-carbamic acid tetrahydro-furan-3-YL ester,CC(C)CN(CC(C(CC1=CC=CC=C1)NC(=O)OC2CCOC2)O)S(=O)(=O)C3=CC=C(C=C3)N,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,YMARZQAQMVYCKC-UHFFFAOYSA-N,sider,2177,Alanine aminotransferase increased;Aspartate aminotransferase increased;Hepatitis B;Liver function test abnormal;Transaminases increased,0,unknown,0,1
Amsacrine,COC1=C(C=CC(=C1)NS(=O)(=O)C)NC2=C3C=CC=CC3=NC4=CC=CC=C42,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,XCPGHVQEEXUHNC-UHFFFAOYSA-N,sider,2179,Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Blood bilirubin increased;Hepatic failure;Hepatitis;Hepatotoxicity;Jaundice,0,unknown,0,1
anagrelide,C1C2=C(C=CC(=C2Cl)Cl)NC3=NC(=O)CN31,O=C1CN2Cc3c(ccc(Cl)c3Cl)NC2=N1,OTBXOEAOVRKTNQ-UHFFFAOYSA-N,sider,2182,Hepatic enzyme increased;Hepatitis;Hepatotoxicity;Liver function test abnormal,0,unknown,0,1
Anastrozole,CC(C)(C#N)C1=CC(=CC(=C1)CN2C=NC=N2)C(C)(C)C#N,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,YBBLVLTVTVSKRW-UHFFFAOYSA-N,sider,2187,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Gamma-glutamyltransferase increased;Hepatic pain;Hepatitis;Hepatitis acute;Hepatitis toxic;Hepatotoxicity;Jaundice;Liver function test abnormal,0,unknown,0,1
Aspirin,CC(=O)OC1=CC=CC=C1C(=O)O,CC(=O)Oc1ccccc1C(=O)O,BSYNRYMUTXBXSQ-UHFFFAOYSA-N,sider,2244,Hepatocellular injury;Hepatotoxicity;Liver disorder,0,unknown,0,1
Atenolol,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,METKIMKYRPQLGS-UHFFFAOYSA-N,sider,2249,Aspartate aminotransferase increased;Cholestasis;Hepatic enzyme increased,0,unknown,0,1
GlyTouCan:G43288VA,CC(C)C1=C(C(=C(N1CCC(CC(CC(=O)O)O)O)C2=CC=C(C=C2)F)C3=CC=CC=C3)C(=O)NC4=CC=CC=C4,CC(C)c1c(C(=O)Nc2ccccc2)c(-c2ccccc2)c(-c2ccc(F)cc2)n1CCC(O)CC(O)CC(=O)O,XUKUURHRXDUEBC-UHFFFAOYSA-N,sider,2250,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood bilirubin increased;Cholestasis;Hepatic enzyme increased;Hepatic failure;Hepatitis;Jaundice cholestatic;Liver function test abnormal;Transaminases increased,0,unknown,0,1
Azathioprine,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,LMEKQMALGUDUQG-UHFFFAOYSA-N,sider,2265,Cholestasis;Hepatic failure;Hepatic function abnormal;Hepatitis B;Hepatitis toxic;Hepatocellular injury;Hepatotoxicity;Jaundice cholestatic;Liver injury,0,unknown,0,1
Azelastine,CN1CCCC(CC1)N2C(=O)C3=CC=CC=C3C(=N2)CC4=CC=C(C=C4)Cl,CN1CCCC(n2nc(Cc3ccc(Cl)cc3)c3ccccc3c2=O)CC1,MBUVEWMHONZEQD-UHFFFAOYSA-N,sider,2267,Alanine aminotransferase increased,0,unknown,0,1
"11-[4-(Dimethylamino)-3-hydroxy-6-methyl-tetrahydropyran-2-yl]oxy-2-ethyl-3,4,10-trihydroxy-13-(5-hydroxy-4-methoxy-4,6-dimethyl-tetrahydropyran-2-yl)oxy-3,5,6,8,10,12,14-heptamethyl-1-oxa-6-azacyclopentadecan-15-one",CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O,CCC1OC(=O)C(C)C(OC2CC(C)(OC)C(O)C(C)O2)C(C)C(OC2OC(C)CC(N(C)C)C2O)C(C)(O)CC(C)CN(C)C(C)C(O)C1(C)O,MQTOSJVFKKJCRP-UHFFFAOYSA-N,sider,2269,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Blood bilirubin increased;Drug-induced liver injury;Hepatic failure;Hepatic function abnormal;Hepatic necrosis;Hepatitis;Hepatotoxicity;Jaundice;Jaundice cholestatic;Liver function test abnormal;Transaminases increased,0,unknown,0,1
"2-[[1-(2-Amino-1,3-thiazol-4-yl)-2-[(2-methyl-4-oxo-1-sulfoazetidin-3-yl)amino]-2-oxoethylidene]amino]oxy-2-methylpropanoic acid",CC1C(C(=O)N1S(=O)(=O)O)NC(=O)C(=NOC(C)(C)C(=O)O)C2=CSC(=N2)N,CC1C(NC(=O)C(=NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O,WZPBZJONDBGPKJ-UHFFFAOYSA-N,sider,2274,Alanine aminotransferase increased;Aspartate aminotransferase increased;Hepatitis;Jaundice,0,unknown,0,1
Baclofen,C1=CC(=CC=C1C(CC(=O)O)CN)Cl,NCC(CC(=O)O)c1ccc(Cl)cc1,KPYSYYIEGFHWSV-UHFFFAOYSA-N,sider,2284,Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Hepatic function abnormal,0,unknown,0,1
"3-[[1-(Ethoxycarbonyl)-3-phenylpropyl]amino]-2,3,4,5-tetrahydro-2-oxo-1H-1-benzazepine-1-acetic acid",CCOC(=O)C(CCC1=CC=CC=C1)NC2CCC3=CC=CC=C3N(C2=O)CC(=O)O,CCOC(=O)C(CCc1ccccc1)NC1CCc2ccccc2N(CC(=O)O)C1=O,XPCFTKFZXHTYIP-UHFFFAOYSA-N,sider,2311,Hepatitis;Jaundice cholestatic,0,unknown,0,1
Bendroflumethiazide,C1=CC=C(C=C1)CC2NC3=C(C=C(C(=C3)C(F)(F)F)S(=O)(=O)N)S(=O)(=O)N2,NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NC(Cc1ccccc1)NS2(=O)=O,HDWIHXWEUNVBIY-UHFFFAOYSA-N,sider,2315,Hepatic encephalopathy,0,unknown,0,1
Bepridil,CC(C)COCC(CN(CC1=CC=CC=C1)C2=CC=CC=C2)N3CCCC3,CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,UIEATEWHFDRYRU-UHFFFAOYSA-N,sider,2351,Liver function test abnormal,0,unknown,0,1
Betaxolol,CC(C)NCC(COC1=CC=C(C=C1)CCOCC2CC2)O,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1,NWIUTZDMDHAVTP-UHFFFAOYSA-N,sider,2369,Alanine aminotransferase increased;Aspartate aminotransferase increased,0,unknown,0,1
Bicalutamide,CC(CS(=O)(=O)C1=CC=C(C=C1)F)(C(=O)NC2=CC(=C(C=C2)C#N)C(F)(F)F)O,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,LKJPYSCBVHEWIU-UHFFFAOYSA-N,sider,2375,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Blood bilirubin increased;Hepatic failure;Hepatotoxicity;Jaundice;Liver function test abnormal,0,unknown,0,1
Bisoprolol,CC(C)NCC(COC1=CC=C(C=C1)COCCOC(C)C)O,CC(C)NCC(O)COc1ccc(COCCOC(C)C)cc1,VHYCDWMUTMEGQY-UHFFFAOYSA-N,sider,2405,Hepatitis;Hepatomegaly,0,unknown,0,1
